Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Mt Albert,Avocado,ea,,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Dairy Milk Chocolate Bar,45g,$1.98/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Crunchie Chocolate Bar,50g,$1.78/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Picnic Chocolate Bar,46g,$1.93/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Moro Chocolate Bar,50g,$1.78/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Flake Chocolate Bar,30g,$2.97/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Biscoff Chocolate Bar,45g,$1.98/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Cadbury Pinky Chocolate Bar,40g,$2.23/100g,$0.89,$0.00
PAK'nSAVE Mt Albert,Lotte Koala's Black Bitter Chocolate Biscuits,37g,$2.68/100g,$0.99,$0.00
PAK'nSAVE Mt Albert,Lotte Koala's Rich Matcha Biscuits,33g,$3.00/100g,$0.99,$0.00
PAK'nSAVE Mt Albert,Lotte Koala's March Chocolate Biscuits,37g,$2.68/100g,$0.99,$0.00
PAK'nSAVE Mt Albert,Lotte Koala's March Strawberry Biscuits,37g,$2.68/100g,$0.99,$0.00
PAK'nSAVE Mt Albert,Jack Link's Original Beef Stick,12g,$99.17/1kg,$1.19,$0.00
PAK'nSAVE Mt Albert,Skittles Crazy Sours Fruit Tubes,30g,$3.97/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Skittles Fruit Confectionery Tubes,30g,$3.97/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Meadow Fresh Blueberry Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Meadow Fresh Mango Peach Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Meadow Fresh Vanilla Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Meadow Fresh Mixed Berry Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Meadow Fresh Strawberry Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Mt Albert,Otoki Jin Ramen Spicy Hot Noodle Soup,65g,$2.14/100g,4 for $5.00 ($1.25 ea),$0.14 ea
PAK'nSAVE Mt Albert,Otoki Jin Ramen Mild Noodle Soup,65g,$2.14/100g,4 for $5.00 ($1.25 ea),$0.14 ea
PAK'nSAVE Mt Albert,Leeks,ea,,$1.50,$0.00
PAK'nSAVE Mt Albert,Wattie's Italian Style Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Mt Albert,Wattie's Roast Garlic & Onion Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Mt Albert,Wattie's Mexican Style Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Mt Albert,Wattie's Indian Style Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Mt Albert,Wattie's Savoury Tomatoes,400g,$3.98/1kg,$1.59,$0.00
PAK'nSAVE Mt Albert,Snactory Roasted Salted Peanuts,125g,$1.27/100g,4 for $5.00 ($1.25 ea),$0.34 ea
PAK'nSAVE Mt Albert,Dole Pineapple Chunks In Juice,227g,$7.89/1kg,$1.79,$0.00
PAK'nSAVE Mt Albert,Dole Pineapple Slices In Juice,227g,$7.89/1kg,$1.79,$0.00
PAK'nSAVE Mt Albert,Dole Pineapple Crushed In Juice,227g,$7.89/1kg,$1.79,$0.00
PAK'nSAVE Mt Albert,Anchor Uno Squeezie Smooth Mixed Berry Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,Anchor Uno Squeezie Smooth Banana Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,Anchor Uno Squeezie Smooth Strawberry Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,Anchor Uno Squeezie Smooth Vanilla Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,Anchor Uno Squeezie Smooth Peach Mango Yoghurt,100g,$1.79/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,The Collective Splitz Toffee 'nana Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,The Collective Splitz Churro Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,The Collective Splitz Choc Berry Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,The Collective Splitz Bickies 'n' Cream Greek Yoghurt,140g,$1.28/100g,$1.79,$0.00
PAK'nSAVE Mt Albert,Continental Carbonara Instant Pasta Snack,50g,$3.66/100g,3 for $5.00 ($1.67 ea),$0.16 ea
PAK'nSAVE Mt Albert,Continental Bolognese Instant Pasta Snack,59g,$3.10/100g,3 for $5.00 ($1.67 ea),$0.16 ea
PAK'nSAVE Mt Albert,Wattie's Spaghetti In Tomato Sauce,420g,$0.45/100g,$1.89,$0.00
PAK'nSAVE Mt Albert,Wattie's Baked Beans In Tomato Sauce,420g,$0.45/100g,$1.89,$0.00
PAK'nSAVE Mt Albert,Fantastic Chicken Instant Noodle Cup,70g,$2.70/100g,$1.89,$0.00
PAK'nSAVE Mt Albert,Fantastic Beef Instant Noodle Cup,70g,$2.70/100g,$1.89,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Black Mustard Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Sage,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Black Sesame Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Allspice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Yellow Mustard Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Whole Allspice,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Sichuan Pepper,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Chopped Chives,5g,$3.98/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Poppy Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Juniper Berries,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Sumac,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Bluebird Originals Ready Salted Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Originals Chicken Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Originals Sour Cream & Chives Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Originals Salt & Vinegar Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thinly Cut Ready Salted Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thinly Cut Sour Cream & Chives Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thinly Cut Chicken Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thinly Cut Salt & Vinegar Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Tarragon Leaves,7g,$2.84/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,NERDS Very Berry Gummy Clusters Pouch,35g,$5.69/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,NERDS Rainbow Gummy Clusters,35g,$5.69/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thick Cut Crispy Bacon Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thick Cut Epic Salt & Vinegar Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Bluebird Thick Cut Salted Potato Chips,150g,$1.33/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Eta Ridgies Smoky Bacon & & Cheese Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Mint,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Eco White Sesame Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Chipotle,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Eta Uppercuts Sea Salt Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Fenugreek Seeds,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Mixed Spice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Onion Flakes,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Cloves,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Parsley,8g,$2.49/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Everytime Rice Moments Honey & Soy Flavour Thick Rice Crackers,100g,$1.99/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Basil,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Nutmeg,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Dill,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Eta Uppercuts Sea Salt & Balsamic Vinegar Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Rosemary,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Natural Eco Cloves,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Eco Cumin Seeds,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Chinese Five Spice,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Coriander Seeds,21g,$0.95/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Pickling Spice,25g,$0.80/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Garlic Granules,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Mustard Powder,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Chilli Powder,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Everytime Rice Moments Ready Salted Thick Rice Crackers,100g,$1.99/100g,$1.99,$0.00
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Marjoram,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Black Peppercorns,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Ground Cayenne Pepper,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Mt Albert,Mrs Rogers Naturals Eco Mixed Herbs,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
