Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Westgate,Avocado,ea,,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Dairy Milk Chocolate Bar,45g,$1.98/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Crunchie Chocolate Bar,50g,$1.78/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Picnic Chocolate Bar,46g,$1.93/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Moro Chocolate Bar,50g,$1.78/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Flake Chocolate Bar,30g,$2.97/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Biscoff Chocolate Bar,45g,$1.98/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Perky Nana Chocolate Bar,45g,$1.98/100g,$0.89,$0.00
PAK'nSAVE Westgate,Cadbury Twirl Chocolate Bar,39g,$2.28/100g,$0.89,$0.00
PAK'nSAVE Westgate,Hugos Italian Apricot Croissant,50g,$1.98/100g,$0.99,$0.00
PAK'nSAVE Westgate,Hugos Italian Croissant Chocolate & Hazelnut,45g,$2.20/100g,$0.99,$0.00
PAK'nSAVE Westgate,Living Foods Sandwich Pack Sprouts,120g,$8.25/1kg,$0.99,$0.00
PAK'nSAVE Westgate,Jack Link's Original Beef Stick,12g,$99.17/1kg,$1.19,$0.00
PAK'nSAVE Westgate,Skittles Crazy Sours Fruit Tubes,30g,$3.97/100g,$1.19,$0.00
PAK'nSAVE Westgate,Skittles Fruit Confectionery Tubes,30g,$3.97/100g,$1.19,$0.00
PAK'nSAVE Westgate,Jack Link's Teriyaki Beef Stick,12g,$99.17/1kg,$1.19,$0.00
PAK'nSAVE Westgate,Meadow Fresh Blueberry Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Westgate,Meadow Fresh Mango Peach Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Westgate,Meadow Fresh Vanilla Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Westgate,Meadow Fresh Mixed Berry Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Westgate,Meadow Fresh Strawberry Yoghurt Pouch,70g,$1.70/100g,$1.19,$0.00
PAK'nSAVE Westgate,Leeks,ea,,$1.50,$0.00
PAK'nSAVE Westgate,Wattie's Italian Style Tomatoes,400g,$3.98/1kg,$1.59,$0.00
